1,ジョージアエメラルドマウンテンブラック,ジョージアエメラルドマウンテンブラック,コーヒー,140
2,ボス贅沢微糖,ボス贅沢微糖,コーヒー,190
3,ボスレインボーマウンテンブレンド,ボスレインボーマウンテンブレンド,コーヒー,180
4,ドトールカフェオレ,ドトールカフェオレ,コーヒー,200
5,ワンダ特製カフェオレ,ワンダ特製カフェオレ,コーヒー,140
6,ペプシコーラ,ペプシコーラ,炭酸飲料,180
7,カナダドライジンジャーエール,カナダドライジンジャーエール,炭酸飲料,160
8,ファンタグレープ,ファンタグレープ,炭酸飲料,180
9,マッチ,マッチ,炭酸飲料,210
10,三ツ矢ピーチ,三ツ矢ピーチ,炭酸飲料,190
11,おーいお茶,おーいお茶,お茶,200
12,十六茶,十六茶,お茶,150
13,胡麻麦茶,胡麻麦茶,お茶,200
14,からだ巡り茶,からだ巡り茶,お茶,130
15,黒烏龍茶,黒烏龍茶,お茶,170
16,午後の紅茶ミルクティー,午後の紅茶ミルクティー,紅茶,190
17,ボスノンシュガーティー,ボスノンシュガーティー,紅茶,220
18,アールグレイティー,アールグレイティー,紅茶,160
19,午後の紅茶エスプレッソティーラテ,午後の紅茶エスプレッソティーラテ,紅茶,220
20,なっちゃんオレンジ,なっちゃんオレンジ,果汁飲料,150
21,なっちゃんグレープ,なっちゃんグレープ,果汁飲料,210
22,エビアン,エビアン,水,210
23,カルピスウォーター,カルピスウォーター,乳酸菌飲料,170
24,アクエリアス,アクエリアス,スポーツ飲料,220
