1,クラフトボスラテ,クラフトボスラテ,コーヒー,170
2,ダイドーブレンドブラック,ダイドーブレンドブラック,コーヒー,140
3,ダイドーブレンドアメリカン,ダイドーブレンドアメリカン,コーヒー,180
4,ボスレインボーマウンテンブレンド,ボスレインボーマウンテンブレンド,コーヒー,160
5,ジョージア香る微糖,ジョージアかおるびとう,コーヒー,200
6,三ツ矢サイダー,みつやサイダー,炭酸飲料,200
7,ファンタオレンジ,ファンタオレンジ,炭酸飲料,120
8,スコール,スコール,炭酸飲料,170
9,三ツ矢ピーチ,みつやピーチ,炭酸飲料,200
10,ウィルキンソン炭酸,ウィルキンソンたんさん,炭酸飲料,130
11,からだ巡り茶,からだめぐりちゃ,お茶,150
12,綾鷹,あやたか,お茶,190
13,ルイボスティー,ルイボスティー,お茶,130
14,伊右衛門,いえもん,お茶,160
15,ウーロン茶,うーろんちゃ,お茶,190
16,午後の紅茶ストレートティー,ごごのこうちゃストレートティー,紅茶,180
17,紅茶花伝ロイヤルミルクティー,こうちゃかでんロイヤルミルクティー,紅茶,140
18,紅茶花伝クラフティー,こうちゃかでんクラフティー,紅茶,190
19,紅茶花伝リフレッシュオレンジティー,こうちゃかでんリフレッシュオレンジティー,紅茶,210
20,なっちゃんアップル,なっちゃんアップル,果汁飲料,210
21,ゴクリグレープフルーツ,ゴクリグレープフルーツ,果汁飲料,180
22,いろはす天然水,いろはすてんねんすい,水,170
23,ヤクルト,ヤクルト,乳酸菌飲料,150
24,ポカリスエット,ポカリスエット,スポーツ飲料,210
