1,キットカット,キットカット,チョコレート
2,小枝,小枝,チョコレート
3,しみコーン,しみコーン,チョコレート
4,アルフォート,アルフォート,チョコレート
5,ダース,ダース,チョコレート
6,ブラックサンダー,ブラックサンダー,チョコレート
7,アーモンドチョコレート,アーモンドチョコレート,チョコレート
8,マカダミアチョコレート,マカダミアチョコレート,チョコレート
9,ガーナチョコレート,ガーナチョコレート,チョコレート
10,クランキー,クランキー,チョコレート
11,ポテトチップスうすしお,ポテトチップスうすしお,スナック
12,ポテトチップスコンソメ,ポテトチップスコンソメ,スナック
13,ポテトチップス醤油バター,ポテトチップスしょうゆばたー,スナック
14,じゃがりこ,じゃがりこ,スナック
15,ジャガビー,ジャガビー,スナック
16,ポテロング,ポテロング,スナック
17,ピザポテト,ピザポテト,スナック
18,カラムーチョ,カラムーチョ,スナック
19,堅揚げポテト,堅揚げポテト,スナック
20,カール,カール,スナック
21,キシリトールガム,キシリトールガム,ガム
22,マイニチケアガム,マイニチケアガム,ガム
23,クロレッツ,クロレッツ,ガム
24,ロッテグリーンガム,ロッテグリーンガム,ガム
25,ロッテクリーンミントガム,ロッテクリーンミントガム,ガム
26,ピュレグミ,ピュレグミ,グミ
27,コロロ,コロロ,グミ
28,フィットチーネグミ,フィットチーネグミ,グミ
29,サワーズグミ,サワーズグミ,グミ
30,果汁グミ,果汁グミ,グミ
31,ゴチグミ,ゴチグミ,グミ
32,ハリボーグミ,ハリボーグミ,グミ
33,ポイフル,ポイフル,グミ
34,つぶグミ,つぶグミ,グミ
35,忍者めし,忍者めし,グミ
36,チュッパチャップス,チュッパチャップス,飴玉
37,べっこう飴,べっこう飴,飴玉
38,カンロ飴,カンロ飴,飴玉
39,のど飴,のど飴,飴玉
40,パインアメ,パインアメ,飴玉
41,黒蜜飴,黒蜜飴,飴玉
42,ブドウゼリー,ブドウゼリー,ゼリー
43,みかんゼリー,みかんゼリー,ゼリー
44,桃ゼリー,桃ゼリー,ゼリー
45,りんごゼリー,りんごゼリー,ゼリー
46,ナタデココゼリー,ナタデココゼリー,ゼリー
47,ミックスゼリー,ミックスゼリー,ゼリー
48,蒟蒻畑,蒟蒻畑,ゼリー
49,びわゼリー,びわゼリー,ゼリー
50,梅ゼリー,梅ゼリー,ゼリー
51,ひとくちフルーツゼリー,ひとくちフルーツゼリー,ゼリー
52,オレオ,オレオ,クッキー
53,カントリーマアム,カントリーマアム,クッキー
54,ムーンライト,ムーンライト,クッキー
55,チョコチップクッキー,チョコチップクッキー,クッキー
56,北海道バタークッキー,北海道バタークッキー,クッキー
57,おからクッキー,おからクッキー,クッキー
58,ビスコ,ビスコ,クッキー
59,ココアクッキー,ココアクッキー,クッキー
60,ぬれせんべい,ぬれせんべい,せんべい
61,ぽたぽた焼き,ぽたぽた焼き,せんべい
62,黒豆せんべい,黒豆せんべい,せんべい
63,エビせんべい,エビせんべい,せんべい
64,きらずあげ,きらずあげ,せんべい
65,ふやきせんべい,ふやきせんべい,せんべい
66,半熟カレーせん,半熟カレーせん,せんべい
67,たこせん,たこせん,せんべい
68,めんべい,めんべい,せんべい
69,小魚せんべい,小魚せんべい,せんべい
70,ぼんちあげ,ぼんちあげ,せんべい
