1,ブラックサンダー,ブラックサンダー,チョコレート,160
2,キットカット,キットカット,チョコレート,170
3,小枝,こえだ,チョコレート,160
4,アルフォート,アルフォート,チョコレート,130
5,ガーナチョコレート,ガーナチョコレート,チョコレート,200
6,ポテトチップスコンソメ,ポテトチップスコンソメ,スナック,200
7,ポテトチップス醤油バター,ポテトチップスしょうゆばたー,スナック,150
8,カラムーチョ,カラムーチョ,スナック,210
9,堅揚げポテト,かたあげポテト,スナック,210
10,カール,カール,スナック,130
11,つぶグミ,つぶグミ,グミ,190
12,ピュレグミ,ピュレグミ,グミ,170
13,サワーズグミ,サワーズグミ,グミ,210
14,果汁グミ,かじゅうグミ,グミ,120
15,ハリボーグミ,ハリボーグミ,グミ,180
16,ミックスゼリー,ミックスゼリー,ゼリー,190
17,ひとくちフルーツゼリー,ひとくちフルーツゼリー,ゼリー,140
18,みかんゼリー,みかんゼリー,ゼリー,180
19,桃ゼリー,桃ゼリー,ゼリー,150
20,ムーンライト,ムーンライト,クッキー,200
21,チョコチップクッキー,チョコチップクッキー,クッキー,180
22,エビせんべい,エビせんべい,せんべい,200
23,ロッテクリーンミントガム,ロッテクリーンミントガム,ガム,140
24,チュッパチャップス,チュッパチャップス,飴玉,190
